country,fecha_inicio,fecha_fin,observaciones,hpi_missing,inflation_missing,unemployment_missing,overburden_missing,ecb_missing
Alemania,2014-01-01,2025-10-01,48,0,0,0,0,0
Austria,2014-01-01,2025-10-01,48,0,0,0,0,0
Bulgaria,2014-01-01,2025-10-01,48,0,0,0,0,0
Bélgica,2014-01-01,2025-10-01,48,0,0,0,0,0
Chequia,2014-01-01,2025-10-01,48,0,0,0,0,0
Chipre,2014-01-01,2025-10-01,48,0,0,0,0,0
Croacia,2014-01-01,2025-10-01,48,0,0,0,0,0
Dinamarca,2014-01-01,2025-10-01,48,0,0,0,0,0
Eslovaquia,2014-01-01,2025-10-01,48,0,0,0,0,0
Eslovenia,2014-01-01,2025-10-01,48,0,0,0,0,0
España,2014-01-01,2025-10-01,48,0,0,0,0,0
Estonia,2014-01-01,2025-10-01,48,0,0,0,0,0
Finlandia,2014-01-01,2025-10-01,48,0,0,0,0,0
Francia,2014-01-01,2025-10-01,48,0,0,0,0,0
Hungría,2014-01-01,2025-10-01,48,0,0,0,0,0
Irlanda,2014-01-01,2025-10-01,48,0,0,0,0,0
Italia,2014-01-01,2025-10-01,48,0,0,0,0,0
Letonia,2014-01-01,2025-10-01,48,0,0,0,0,0
Lituania,2014-01-01,2025-10-01,48,0,0,0,0,0
Luxemburgo,2014-01-01,2025-10-01,48,0,0,0,0,0
Malta,2014-01-01,2025-10-01,48,0,0,0,0,0
Países Bajos,2014-01-01,2025-10-01,48,0,0,0,0,0
Polonia,2014-01-01,2025-10-01,48,0,0,0,0,0
Portugal,2014-01-01,2025-10-01,48,0,0,0,0,0
Rumanía,2014-01-01,2025-10-01,48,0,0,0,0,0
Suecia,2014-01-01,2025-10-01,48,0,0,0,0,0
