Model,MAE,RMSE,sMAPE
"ARIMA(1,1,1)",1.9795419489722237,2.357567518931676,1.2799184207067722
ETS,2.156377554050944,2.47465205173915,1.3974241084638193
Lasso,2.83708329634131,3.5591319075180627,1.8509029227207645
Ridge,3.111518778701317,3.858028568666509,2.00084431212592
Naive,3.5933333333333337,3.9735458556139354,2.2834452412853623
XGBoost,4.502158325195311,5.213380060361563,2.80266548962283
Moving Average,7.474666666666667,8.363394247154284,4.794023440949007
Linear Regression,8.679753727739914,10.943450454391884,5.469019969237794
Random Forest,9.497224692239897,10.253124797062382,6.043788743574554
Seasonal Naive,11.48333333333333,12.618264275776337,7.500329334586324
LightGBM,26.23691682349311,27.44816781013545,17.711374425080884
