country,quarter,forecast_step,hpi,forecast_origin
Alemania,2025Q4,1,155.62426065033168,2025-07-01
Alemania,2026Q1,2,157.4941560524862,2025-10-01
Alemania,2026Q2,3,160.1865418244812,2026-01-01
Alemania,2026Q3,4,162.85274970238228,2026-04-01
Austria,2025Q4,1,169.79839892448106,2025-07-01
Austria,2026Q1,2,171.78543808477679,2025-10-01
Austria,2026Q2,3,174.5416892757631,2026-01-01
Austria,2026Q3,4,177.23714809557555,2026-04-01
Bulgaria,2025Q4,1,263.58819709987495,2025-07-01
Bulgaria,2026Q1,2,271.18628907595917,2025-10-01
Bulgaria,2026Q2,3,279.38573882582045,2026-01-01
Bulgaria,2026Q3,4,287.25545037769604,2026-04-01
Bélgica,2025Q4,1,148.06947611281618,2025-07-01
Bélgica,2026Q1,2,149.67307259603558,2025-10-01
Bélgica,2026Q2,3,152.27888710876843,2026-01-01
Bélgica,2026Q3,4,155.05386805386007,2026-04-01
Chequia,2025Q4,1,255.41684701278047,2025-07-01
Chequia,2026Q1,2,261.658847321964,2025-10-01
Chequia,2026Q2,3,268.8568423069701,2026-01-01
Chequia,2026Q3,4,275.8405102677941,2026-04-01
Chipre,2025Q4,1,155.55793904995454,2025-07-01
Chipre,2026Q1,2,158.57911042527127,2025-10-01
Chipre,2026Q2,3,162.04231414914926,2026-01-01
Chipre,2026Q3,4,166.21943501765713,2026-04-01
Croacia,2025Q4,1,236.54179191307873,2025-07-01
Croacia,2026Q1,2,243.22321680227907,2025-10-01
Croacia,2026Q2,3,250.28369401871663,2026-01-01
Croacia,2026Q3,4,256.81825652525185,2026-04-01
Dinamarca,2025Q4,1,157.11806183090704,2025-07-01
Dinamarca,2026Q1,2,159.8023781903968,2025-10-01
Dinamarca,2026Q2,3,163.2175111084649,2026-01-01
Dinamarca,2026Q3,4,166.53201962104959,2026-04-01
Eslovaquia,2025Q4,1,213.82299388525345,2025-07-01
Eslovaquia,2026Q1,2,218.90511409621558,2025-10-01
Eslovaquia,2026Q2,3,225.14083401546196,2026-01-01
Eslovaquia,2026Q3,4,231.34406706060264,2026-04-01
Eslovenia,2025Q4,1,210.59320368347468,2025-07-01
Eslovenia,2026Q1,2,213.64942606492235,2025-10-01
Eslovenia,2026Q2,3,218.16780047468595,2026-01-01
Eslovenia,2026Q3,4,222.06765301061722,2026-04-01
España,2025Q4,1,189.06274644402606,2025-07-01
España,2026Q1,2,194.0824373900262,2025-10-01
España,2026Q2,3,199.72369511178238,2026-01-01
España,2026Q3,4,204.93545794042308,2026-04-01
Estonia,2025Q4,1,226.3316782955827,2025-07-01
Estonia,2026Q1,2,230.75757531293465,2025-10-01
Estonia,2026Q2,3,235.4789284368157,2026-01-01
Estonia,2026Q3,4,239.71356097182894,2026-04-01
Finlandia,2025Q4,1,97.63129064716321,2025-07-01
Finlandia,2026Q1,2,97.02360079918355,2025-10-01
Finlandia,2026Q2,3,97.2275893121897,2026-01-01
Finlandia,2026Q3,4,97.11529939761064,2026-04-01
Francia,2025Q4,1,129.55054958370187,2025-07-01
Francia,2026Q1,2,130.58199340745276,2025-10-01
Francia,2026Q2,3,132.57785637229978,2026-01-01
Francia,2026Q3,4,134.65172815017283,2026-04-01
Hungría,2025Q4,1,387.4197642866913,2025-07-01
Hungría,2026Q1,2,400.05637427127897,2025-10-01
Hungría,2026Q2,3,412.2674748431129,2026-01-01
Hungría,2026Q3,4,425.8430716789745,2026-04-01
Irlanda,2025Q4,1,203.48089636633915,2025-07-01
Irlanda,2026Q1,2,207.26958103148206,2025-10-01
Irlanda,2026Q2,3,212.25981485111862,2026-01-01
Irlanda,2026Q3,4,217.35670617999534,2026-04-01
Italia,2025Q4,1,118.35325846145338,2025-07-01
Italia,2026Q1,2,119.4523792664072,2025-10-01
Italia,2026Q2,3,121.54530447897632,2026-01-01
Italia,2026Q3,4,123.14919657731652,2026-04-01
Letonia,2025Q4,1,224.02313975060247,2025-07-01
Letonia,2026Q1,2,229.28121992492407,2025-10-01
Letonia,2026Q2,3,235.91639731295652,2026-01-01
Letonia,2026Q3,4,242.25411515832477,2026-04-01
Lituania,2025Q4,1,268.5564253875133,2025-07-01
Lituania,2026Q1,2,275.01815184539635,2025-10-01
Lituania,2026Q2,3,282.47516590777104,2026-01-01
Lituania,2026Q3,4,289.80264073203995,2026-04-01
Luxemburgo,2025Q4,1,166.0315278356897,2025-07-01
Luxemburgo,2026Q1,2,167.8709706960434,2025-10-01
Luxemburgo,2026Q2,3,170.77808921289795,2026-01-01
Luxemburgo,2026Q3,4,172.99041008203602,2026-04-01
Malta,2025Q4,1,178.2462838128066,2025-07-01
Malta,2026Q1,2,181.22505340894824,2025-10-01
Malta,2026Q2,3,185.1445212551442,2026-01-01
Malta,2026Q3,4,189.05516996394374,2026-04-01
Países Bajos,2025Q4,1,222.33810488205347,2025-07-01
Países Bajos,2026Q1,2,226.70859137370235,2025-10-01
Países Bajos,2026Q2,3,232.03066209687,2026-01-01
Países Bajos,2026Q3,4,237.46946440853048,2026-04-01
Polonia,2025Q4,1,221.33895391378252,2025-07-01
Polonia,2026Q1,2,224.84082079293876,2025-10-01
Polonia,2026Q2,3,229.45170334887223,2026-01-01
Polonia,2026Q3,4,234.1790116589737,2026-04-01
Portugal,2025Q4,1,278.1347210728325,2025-07-01
Portugal,2026Q1,2,287.0404159400214,2025-10-01
Portugal,2026Q2,3,296.4466301940255,2026-01-01
Portugal,2026Q3,4,305.34486629612866,2026-04-01
Rumanía,2025Q4,1,168.50027420343153,2025-07-01
Rumanía,2026Q1,2,170.4799108673704,2025-10-01
Rumanía,2026Q2,3,173.12855725255108,2026-01-01
Rumanía,2026Q3,4,175.83442491817334,2026-04-01
Suecia,2025Q4,1,134.189931650192,2025-07-01
Suecia,2026Q1,2,134.7242627588644,2025-10-01
Suecia,2026Q2,3,136.00763265310528,2026-01-01
Suecia,2026Q3,4,137.3078259492372,2026-04-01
