country,last_historical_date,last_historical_hpi,forecast_date,forecast_hpi,expected_hpi_change,expected_hpi_change_pct
Hungría,2025-07-01,374.69,2026-07-01,425.8430716789745,51.15307167897453,13.652104854406183
Portugal,2025-07-01,269.35,2026-07-01,305.34486629612866,35.994866296128635,13.363603599824996
Bulgaria,2025-07-01,256.01,2026-07-01,287.25545037769604,31.245450377696045,12.204777304674055
Croacia,2025-07-01,230.07,2026-07-01,256.81825652525185,26.74825652525186,11.626138360173801
España,2025-07-01,184.06,2026-07-01,204.93545794042308,20.875457940423075,11.34165920918346
Eslovaquia,2025-07-01,208.52,2026-07-01,231.34406706060264,22.82406706060263,10.945744801746898
Chequia,2025-07-01,249.0,2026-07-01,275.8405102677941,26.840510267794116,10.7793213926884
Lituania,2025-07-01,262.01,2026-07-01,289.80264073203995,27.792640732039956,10.607473276607747
Letonia,2025-07-01,219.79,2026-07-01,242.25411515832477,22.464115158324773,10.22071757510568
Países Bajos,2025-07-01,217.61,2026-07-01,237.46946440853048,19.85946440853047,9.126172698189636
Irlanda,2025-07-01,199.36,2026-07-01,217.35670617999534,17.99670617999533,9.027240258825907
Chipre,2025-07-01,152.93,2026-07-01,166.21943501765713,13.289435017657127,8.689881002849098
Estonia,2025-07-01,221.98,2026-07-01,239.71356097182894,17.73356097182895,7.988810240485157
Malta,2025-07-01,175.11,2026-07-01,189.05516996394374,13.945169963943727,7.963662819909614
Dinamarca,2025-07-01,154.48,2026-07-01,166.53201962104959,12.052019621049595,7.801669873802172
Polonia,2025-07-01,217.54,2026-07-01,234.1790116589737,16.639011658973715,7.6487136429961
Eslovenia,2025-07-01,207.03,2026-07-01,222.06765301061722,15.03765301061722,7.263513988609003
Alemania,2025-07-01,153.6,2026-07-01,162.85274970238228,9.252749702382289,6.02392558748847
Bélgica,2025-07-01,146.32,2026-07-01,155.05386805386007,8.733868053860078,5.969018626202897
Rumanía,2025-07-01,166.14,2026-07-01,175.83442491817334,9.694424918173354,5.835093847461993
Luxemburgo,2025-07-01,163.78,2026-07-01,172.99041008203602,9.21041008203602,5.623647626105764
Austria,2025-07-01,167.87,2026-07-01,177.23714809557555,9.367148095575544,5.580001248332367
Italia,2025-07-01,117.0,2026-07-01,123.14919657731652,6.149196577316516,5.255723570355997
Francia,2025-07-01,128.48,2026-07-01,134.65172815017283,6.171728150172839,4.803648933820703
Suecia,2025-07-01,133.4,2026-07-01,137.3078259492372,3.907825949237207,2.929404759548131
Finlandia,2025-07-01,97.95,2026-07-01,97.11529939761064,-0.8347006023893613,-0.8521700892183373
