feature,coefficient,abs_coefficient
hpi,39.90754540565053,39.90754540565053
hpi_yoy_growth,0.8108376383347629,0.8108376383347629
inflation_yoy,-0.5010082902973008,0.5010082902973008
hpi_rolling_std_4,0.4714937778247233,0.4714937778247233
hpi_lag_1,0.3303194624722858,0.3303194624722858
hpi_lag_2,0.2974017453498562,0.2974017453498562
ecb_rate_change_1q,-0.28062952707799255,0.28062952707799255
quarter,-0.2770835148317496,0.2770835148317496
ecb_main_refinancing_rate_lag_4,-0.03267739471165593,0.03267739471165593
housing_overburden_rate_lag_1,-0.023948033472767943,0.023948033472767943
year,-0.0,0.0
hpi_qoq_growth,0.0,0.0
hpi_lag_4,0.0,0.0
housing_overburden_rate,-0.0,0.0
hpi_rolling_mean_4,0.0,0.0
inflation_yoy_lag_1,-0.0,0.0
inflation_yoy_lag_4,0.0,0.0
ecb_main_refinancing_rate,-0.0,0.0
unemployment_rate,0.0,0.0
unemployment_rate_lag_4,-0.0,0.0
unemployment_rate_lag_1,0.0,0.0
ecb_main_refinancing_rate_lag_1,0.0,0.0
housing_overburden_rate_lag_4,-0.0,0.0
unemployment_change_1q,-0.0,0.0
inflation_change_1q,-0.0,0.0
country_Alemania,-0.0,0.0
country_Austria,-0.0,0.0
country_Bulgaria,0.0,0.0
country_Bélgica,-0.0,0.0
country_Chequia,0.0,0.0
country_Chipre,-0.0,0.0
country_Croacia,0.0,0.0
country_Dinamarca,-0.0,0.0
country_Eslovaquia,0.0,0.0
country_Eslovenia,-0.0,0.0
country_España,0.0,0.0
country_Estonia,0.0,0.0
country_Finlandia,-0.0,0.0
country_Francia,-0.0,0.0
country_Hungría,0.0,0.0
country_Irlanda,-0.0,0.0
country_Italia,-0.0,0.0
country_Letonia,0.0,0.0
country_Lituania,0.0,0.0
country_Luxemburgo,-0.0,0.0
country_Malta,-0.0,0.0
country_Países Bajos,-0.0,0.0
country_Polonia,0.0,0.0
country_Portugal,0.0,0.0
country_Rumanía,0.0,0.0
country_Suecia,-0.0,0.0
